ref_no,title,make,model,year,mileage,engine_cc,transmission,fuel,seats,location,price_usd,total_price_usd,price_ugx,total_price_ugx,url
CB205382,2021 VOLKSWAGEN POLO,VOLKSWAGEN,POLO,2021/7,"20,000 km","1,000cc",AT,Petrol,5,Location,,,,,/volkswagen/polo/cb205382/id/13262796/
CB205383,2025 SUZUKI EVERY,SUZUKI,EVERY,2025/5,20 km,660cc,CVT,Petrol,4,Location,,,,,/suzuki/every/cb205383/id/13262797/
CB205384,2025 SUZUKI EVERY,SUZUKI,EVERY,2025/11,20 km,660cc,CVT,Petrol,4,Location,,,,,/suzuki/every/cb205384/id/13262798/
CB205385,2020 NISSAN ROOX,NISSAN,ROOX,2020/10,"28,000 km",660cc,CVT,Petrol,4,Location,,,,,/nissan/roox/cb205385/id/13262799/
CB205386,2021 HONDA VEZEL,HONDA,VEZEL,2021/5,"32,118 km","1,500cc",CVT,Hybrid(Petrol),5,Location,,,,,/honda/vezel/cb205386/id/13262800/
CB205387,2016 HONDA ODYSSEY,HONDA,ODYSSEY,2016/9,"52,734 km","2,000cc",CVT,Hybrid(Petrol),7,Location,,,,,/honda/odyssey/cb205387/id/13262801/
CB205388,2022 MITSUBISHI OUTLANDER PHEV,MITSUBISHI,OUTLANDER,2022/12,"17,593 km","2,400cc",CVT,Hybrid(Petrol),7,Location,,,,,/mitsubishi/outlander-phev/cb205388/id/13262802/
CB205389,2022 TOYOTA RAIZE,TOYOTA,RAIZE,2022/3,"43,490 km","1,200cc",CVT,Hybrid(Petrol),5,Location,,,,,/toyota/raize/cb205389/id/13262803/
CB205390,2007 TOYOTA MARK X,TOYOTA,MARK,2007/9,"85,900 km","2,500cc",AT,Petrol,5,Location,,,,,/toyota/mark-x/cb205390/id/13262805/
CB205391,2024 BMW M2,BMW,M2,2024/3,"2,062 km","3,000cc",AT,Petrol,4,Location,,,,,/bmw/m2/cb205391/id/13262806/
CB205392,2014 MAZDA AXELA SPORT,MAZDA,AXELA,2014/12,"69,900 km","2,200cc",AT,Diesel,5,Location,,,,,/mazda/axela-sport/cb205392/id/13262807/
CB205364,"2015 NISSAN QASHQAI
                                 1.2CVT-NAV-PSTART-RCAM-NAV",NISSAN,QASHQAI,2015/12,"59,240 km","1,197cc",AT,Petrol,5,Location,,,,,/nissan/qashqai/cb205364/id/13262778/
CB205363,"2016 SUBARU OUTBACK
                                 25-CVT-SUNROOF-REVCAM-PSTARRT",SUBARU,OUTBACK,2016/4,"57,086 km","2,498cc",AT,Petrol,5,Location,,,,,/subaru/outback/cb205363/id/13262777/
CB205357,"2023 MAZDA MAZDA2
                                 1.3 SPORT C",MAZDA,MAZDA2,2023,"8,900 km","1,299cc",AT,Petrol,5,Location,,,,,/mazda/mazda2/cb205357/id/13262771/
BX650860,2019 HINO DUTRO,HINO,DUTRO,2019/1,"55,119 km","4,000cc",MT,Diesel,3,Location,,,,,/hino/dutro/bx650860/id/10876906/
CA234381,2010 SUZUKI PALETTE,SUZUKI,PALETTE,2010/4,"39,036 km",660cc,CVT,Petrol,4,Location,,,,,/suzuki/palette/ca234381/id/12317575/
CA072729,2013 NISSAN DAYZ,NISSAN,DAYZ,2013/6,"33,009 km",660cc,CVT,Petrol,4,Location,,,,,/nissan/dayz/ca072729/id/12155303/
BX032441,2009 SUZUKI ALTO,SUZUKI,ALTO,2009/11,"35,000 km",660cc,MT,Petrol,4,Location,,,,,/suzuki/alto/bx032441/id/10253370/
CB205344,2015 SUZUKI SWIFT,SUZUKI,SWIFT,2015/7,"73,002 km","1,200cc",CVT,Petrol,5,Location,,,,,/suzuki/swift/cb205344/id/13262758/
CB205345,2021 BMW M2,BMW,M2,2021/7,"18,000 km","3,000cc",MT,Petrol,4,Location,,,,,/bmw/m2/cb205345/id/13262759/
