ref_no,title,make,model,year,mileage,engine_cc,transmission,fuel,seats,location,price_usd,total_price_usd,price_ugx,total_price_ugx,url
CB202801,"2020 NISSAN NOTE
                                 EXB",NISSAN,NOTE,2020/4,"41,530 km","1,200cc",AT,Hybrid(Petrol),5,Location,,,,,/nissan/note/cb202801/id/13260189/
CB202802,"2024 SUZUKI SPACIA
                                 XSA",SUZUKI,SPACIA,2024/6,"9,550 km",660cc,AT,Hybrid(Petrol),4,Location,,,,,/suzuki/spacia/cb202802/id/13260190/
CB202803,"2020 DAIHATSU THOR
                                 GSA9",DAIHATSU,THOR,2020/10,"36,100 km","1,000cc",AT,Petrol,5,Location,,,,,/daihatsu/thor/cb202803/id/13260191/
CB202809,"2010 HONDA FREED SPIKE
                                 G2WD",HONDA,FREED,2010/9,"80,521 km","1,496cc",AT,Petrol,ASK,Location,,,,,/honda/freed-spike/cb202809/id/13260197/
CB202810,"2010 TOYOTA ISIS
                                 LG",TOYOTA,ISIS,2010/9,"185,000 km","2,000cc",AT,Petrol,ASK,Location,,,,,/toyota/isis/cb202810/id/13260198/
CB202811,"2019 MAZDA AXELA SPORT
                                 15XD",MAZDA,AXELA,2019/3,"75,104 km","1,500cc",AT,Petrol,5,Location,,,,,/mazda/axela-sport/cb202811/id/13260199/
CB202812,"2024 SUZUKI EVERY
                                 JOIN",SUZUKI,EVERY,2024/10,18 km,660cc,AT,Petrol,ASK,Location,,,,,/suzuki/every/cb202812/id/13260200/
CB202813,"2015 TOYOTA SPADE
                                 1.5F4WDTVBLUETOO",TOYOTA,SPADE,2015/9,"94,940 km","1,500cc",CVT,Petrol,5,Location,,,,,/toyota/spade/cb202813/id/13260201/
CB202815,"2017 TOYOTA VOXY
                                 2.0ZS7",TOYOTA,VOXY,2017/7,"71,280 km","2,000cc",CVT,Petrol,7,Location,,,,,/toyota/voxy/cb202815/id/13260203/
CB202816,"2025 SUZUKI JIMNY
                                 660XC4WD",SUZUKI,JIMNY,2025/11,6 km,660cc,MT,Petrol,4,Location,,,,,/suzuki/jimny/cb202816/id/13260204/
CB202817,"2017 SUZUKI SPACIA
                                 660G4WD",SUZUKI,SPACIA,2017/8,"200,708 km",660cc,CVT,Hybrid(Petrol),4,Location,,,,,/suzuki/spacia/cb202817/id/13260205/
CB202818,2013 HONDA FREED SPIKE,HONDA,FREED,2013/4,"57,000 km","1,500cc",AT,Petrol,ASK,Location,,,,,/honda/freed-spike/cb202818/id/13260206/
CB202819,"2014 TOYOTA ISIS
                                 L",TOYOTA,ISIS,2014/3,"76,000 km","1,800cc",AT,Petrol,ASK,Location,,,,,/toyota/isis/cb202819/id/13260207/
CB202820,"2018 MERCEDES-BENZ B-CLASS
                                 B180PKG",MERCEDES-BENZ,B-CLASS,2018/11,"17,000 km","1,600cc",AT,Petrol,ASK,Location,,,,,/mercedes-benz/b-class/cb202820/id/13260208/
CB202821,"2015 VOLVO XC60
                                 T5",VOLVO,XC60,2015/7,"57,000 km","2,000cc",AT,Petrol,ASK,Location,,,,,/volvo/xc60/cb202821/id/13260209/
CB202822,"2016 SUZUKI ALTO
                                 RS",SUZUKI,ALTO,2016/3,"61,400 km",660cc,AT,Petrol,ASK,Location,,,,,/suzuki/alto/cb202822/id/13260210/
CB202823,"2017 DAIHATSU MOVE CANBUS
                                 L",DAIHATSU,MOVE,2017/1,"18,172 km",660cc,AT,Petrol,ASK,Location,,,,,/daihatsu/move-canbus/cb202823/id/13260211/
CB202824,2005 NISSAN CONDOR,NISSAN,CONDOR,2005/1,"117,700 km","4,700cc",MT,Diesel,ASK,Location,,,,,/nissan/condor/cb202824/id/13260212/
CB202825,"2020 DAIHATSU MIRA ES
                                 4WDL",DAIHATSU,MIRA,2020/8,"43,800 km",660cc,AT,Petrol,ASK,Location,,,,,/daihatsu/mira-es/cb202825/id/13260213/
CB202826,"2020 HONDA N BOX
                                 4WDGL",HONDA,N,2020/6,"58,800 km",660cc,AT,Petrol,ASK,Location,,,,,/honda/n-box/cb202826/id/13260214/
CB202827,"2016 MAZDA FLAIR CROSSOVER
                                 4WDXT",MAZDA,FLAIR,2016/6,"63,800 km",660cc,AT,Petrol,ASK,Location,,,,,/mazda/flair-crossover/cb202827/id/13260215/
CB202828,"2018 HONDA N BOX
                                 4WDGL",HONDA,N,2018/9,"54,400 km",660cc,AT,Petrol,ASK,Location,,,,,/honda/n-box/cb202828/id/13260216/
CB202829,"2014 NISSAN DAYZ ROOX
                                 4WDX",NISSAN,DAYZ,2014/2,"61,200 km",660cc,AT,Petrol,ASK,Location,,,,,/nissan/dayz-roox/cb202829/id/13260217/
CB202830,"2025 TOYOTA RAIZE
                                 4WDZ",TOYOTA,RAIZE,2025/11,4 km,"1,000cc",CVT,Petrol,5,Location,,,,,/toyota/raize/cb202830/id/13260218/
CB202831,"2017 SUZUKI WAGON R
                                 FZ",SUZUKI,WAGON,2017/12,"36,615 km",660cc,AT,Petrol,ASK,Location,,,,,/suzuki/wagon-r/cb202831/id/13260219/
CB202832,"2016 SUZUKI HUSTLER
                                 4WDG",SUZUKI,HUSTLER,2016/1,"72,859 km",660cc,AT,Petrol,ASK,Location,,,,,/suzuki/hustler/cb202832/id/13260220/
CB202833,2010 NISSAN ELGRAND,NISSAN,ELGRAND,2010/10,"89,000 km","2,500cc",AT,Petrol,ASK,Location,,,,,/nissan/elgrand/cb202833/id/13260221/
CB202834,"2002 TOYOTA SOARER
                                 430SCVED",TOYOTA,SOARER,2002/11,"106,000 km","4,300cc",AT,Petrol,ASK,Location,,,,,/toyota/soarer/cb202834/id/13260222/
CB202838,"2015 DAIHATSU MOVE
                                 X",DAIHATSU,MOVE,2015/2,"96,000 km",660cc,AT,Petrol,ASK,Location,,,,,/daihatsu/move/cb202838/id/13260226/
CB202839,"2016 DAIHATSU MIRA
                                 X",DAIHATSU,MIRA,2016/2,"16,000 km",660cc,MT,Petrol,ASK,Location,,,,,/daihatsu/mira/cb202839/id/13260227/
CB202840,2008 MAZDA RX-8,MAZDA,RX-8,2008/7,"81,000 km","2,000cc",MT,Petrol,ASK,Location,,,,,/mazda/rx-8/cb202840/id/13260228/
CB202841,"2012 HONDA N-ONE
                                 GL",HONDA,N-ONE,2012/1,"98,000 km",660cc,AT,Petrol,ASK,Location,,,,,/honda/n-one/cb202841/id/13260229/
CB202842,"2018 DAIHATSU HIJET TRUCK
                                 4WDSAIIIT",DAIHATSU,HIJET,2018/11,"13,718 km",660cc,AT,Petrol,ASK,Location,,,,,/daihatsu/hijet-truck/cb202842/id/13260230/
CB202843,"2018 DAIHATSU MIRA ES
                                 XSAIII",DAIHATSU,MIRA,2018/3,"39,000 km",660cc,AT,Petrol,ASK,Location,,,,,/daihatsu/mira-es/cb202843/id/13260231/
CB202844,"2014 HONDA N BOX
                                 GA2WD",HONDA,N,2014/12,"106,092 km",660cc,AT,Petrol,ASK,Location,,,,,/honda/n-box/cb202844/id/13260232/
CB202845,"2015 HONDA N BOX
                                 GL2WD",HONDA,N,2015/9,"109,749 km",660cc,AT,Petrol,ASK,Location,,,,,/honda/n-box/cb202845/id/13260233/
CB202846,"2020 SUZUKI SPACIA
                                 4WDXZ",SUZUKI,SPACIA,2020/8,"27,505 km",660cc,AT,Petrol,ASK,Location,,,,,/suzuki/spacia/cb202846/id/13260234/
CB202847,"2012 DAIHATSU MOVE
                                 L",DAIHATSU,MOVE,2012/7,"83,376 km",660cc,AT,Petrol,ASK,Location,,,,,/daihatsu/move/cb202847/id/13260235/
CB202848,"2013 MITSUBISHI EK CUSTOM
                                 T",MITSUBISHI,EK,2013/6,"70,127 km",660cc,AT,Petrol,ASK,Location,,,,,/mitsubishi/ek-custom/cb202848/id/13260236/
CB202849,"2017 DAIHATSU TANTO
                                 XSAIII",DAIHATSU,TANTO,2017/3,"29,800 km",660cc,AT,Petrol,4,Location,,,,,/daihatsu/tanto/cb202849/id/13260237/
CB202850,"2013 NISSAN MOCO
                                 X",NISSAN,MOCO,2013/3,"148,132 km",660cc,AT,Petrol,ASK,Location,,,,,/nissan/moco/cb202850/id/13260238/
CB202851,"2012 MAZDA FLAIR WAGON
                                 ISLTD",MAZDA,FLAIR,2012/9,"56,084 km",660cc,AT,Petrol,ASK,Location,,,,,/mazda/flair-wagon/cb202851/id/13260239/
CB202852,"2011 DAIHATSU MOVE
                                 XLTD",DAIHATSU,MOVE,2011/12,"89,880 km",660cc,AT,Petrol,ASK,Location,,,,,/daihatsu/move/cb202852/id/13260240/
CB202853,"2024 SUZUKI HUSTLER
                                 G",SUZUKI,HUSTLER,2024/4,"13,918 km",660cc,AT,Petrol,ASK,Location,,,,,/suzuki/hustler/cb202853/id/13260241/
CB202854,"2019 TOYOTA PROBOX VAN
                                 4WDDX",TOYOTA,PROBOX,2019/11,"64,530 km","1,500cc",AT,Petrol,ASK,Location,,,,,/toyota/probox-van/cb202854/id/13260242/
CB202855,"2020 SUZUKI EVERY WAGON
                                 PZ",SUZUKI,EVERY,2020/11,"35,312 km",660cc,AT,Petrol,ASK,Location,,,,,/suzuki/every-wagon/cb202855/id/13260243/
CB202856,"2019 DAIHATSU BOON
                                 SAIII",DAIHATSU,BOON,2019/6,"37,811 km","1,000cc",AT,Petrol,ASK,Location,,,,,/daihatsu/boon/cb202856/id/13260244/
CB202857,"2014 DAIHATSU MOVE
                                 LSA",DAIHATSU,MOVE,2014/10,"49,070 km",660cc,AT,Petrol,ASK,Location,,,,,/daihatsu/move/cb202857/id/13260245/
CB202858,"2021 SUZUKI SPACIA
                                 XZ",SUZUKI,SPACIA,2021/10,"40,068 km",660cc,AT,Petrol,ASK,Location,,,,,/suzuki/spacia/cb202858/id/13260246/
CB202859,"2016 SUZUKI HUSTLER
                                 4WD_G",SUZUKI,HUSTLER,2016/4,"57,806 km",660cc,AT,Petrol,ASK,Location,,,,,/suzuki/hustler/cb202859/id/13260247/
CB202860,"2013 DAIHATSU MOVE
                                 L",DAIHATSU,MOVE,2013/8,"95,820 km",660cc,AT,Petrol,ASK,Location,,,,,/daihatsu/move/cb202860/id/13260248/
CB202861,"2019 TOYOTA SUCCEED VAN
                                 1.5UL-X",TOYOTA,SUCCEED,2019/11,"104,000 km","1,500cc",CVT,Hybrid(Petrol),5,Location,,,,,/toyota/succeed-van/cb202861/id/13260249/
CB202862,2015 HONDA N-WGN,HONDA,N-WGN,2015/1,"51,717 km",660cc,AT,Petrol,ASK,Location,,,,,/honda/n-wgn/cb202862/id/13260250/
CB202863,"2017 HONDA N-WGN
                                 G",HONDA,N-WGN,2017/11,"52,163 km",660cc,AT,Petrol,ASK,Location,,,,,/honda/n-wgn/cb202863/id/13260251/
CB202864,2011 SUZUKI WAGON R,SUZUKI,WAGON,2011/5,"64,922 km",660cc,AT,Petrol,ASK,Location,,,,,/suzuki/wagon-r/cb202864/id/13260252/
CB202865,"2017 SUBARU IMPREZA XV
                                 2.0I-SEYESIGHTAWD",SUBARU,IMPREZA,2017/7,"152,864 km","2,000cc",CVT,Petrol,5,Location,,,,,/subaru/impreza-xv/cb202865/id/13260253/
CB202866,"2017 SUZUKI HUSTLER
                                 G",SUZUKI,HUSTLER,2017/6,"37,162 km",660cc,AT,Petrol,ASK,Location,,,,,/suzuki/hustler/cb202866/id/13260254/
CB202867,"2024 BMW 2 SERIES
                                 218DDCT",BMW,2,2024/3,"11,000 km","2,000cc",AT,Diesel,5,Location,,,,,/bmw/2-series/cb202867/id/13260255/
CB202868,"2013 TOYOTA PRIUS
                                 S",TOYOTA,PRIUS,2013/5,"63,500 km","1,800cc",CVT,Hybrid(Petrol),5,Location,,,,,/toyota/prius/cb202868/id/13260256/
CB202869,2009 TOYOTA CROWN MAJESTA,TOYOTA,CROWN,2009/5,"95,549 km","4,600cc",AT,Petrol,ASK,Location,,,,,/toyota/crown-majesta/cb202869/id/13260257/
CB202870,"2014 TOYOTA VELLFIRE
                                 2.4Z",TOYOTA,VELLFIRE,2014/1,"88,713 km","2,400cc",AT,Petrol,ASK,Location,,,,,/toyota/vellfire/cb202870/id/13260258/
CB202871,2007 SUZUKI EVERY,SUZUKI,EVERY,2007/11,"145,735 km",660cc,AT,Petrol,ASK,Location,,,,,/suzuki/every/cb202871/id/13260259/
CB202872,"2011 SUZUKI WAGON R
                                 FX",SUZUKI,WAGON,2011/3,"50,988 km",660cc,MT,Petrol,ASK,Location,,,,,/suzuki/wagon-r/cb202872/id/13260260/
CB202873,"2025 SUZUKI JIMNY
                                 4WDXC",SUZUKI,JIMNY,2025/9,344 km,660cc,AT,Petrol,4,Location,,,,,/suzuki/jimny/cb202873/id/13260261/
CB202874,2017 TOYOTA HARRIER,TOYOTA,HARRIER,2017/1,"83,400 km","2,000cc",AT,Petrol,5,Location,,,,,/toyota/harrier/cb202874/id/13260262/
CB202875,"2010 DAIHATSU MIRA COCOA
                                 X",DAIHATSU,MIRA,2010/1,"100,342 km",660cc,AT,Petrol,ASK,Location,,,,,/daihatsu/mira-cocoa/cb202875/id/13260263/
CB202876,"2014 NISSAN CARAVAN VAN
                                 DX",NISSAN,CARAVAN,2014/3,"143,645 km","2,000cc",AT,Petrol,6,Location,,,,,/nissan/caravan-van/cb202876/id/13260264/
CB202878,"2024 SUZUKI ALTO
                                 L",SUZUKI,ALTO,2024/5,"9,249 km",660cc,AT,Petrol,4,Location,,,,,/suzuki/alto/cb202878/id/13260266/
CB202879,"2021 SUZUKI EVERY
                                 4WDPALTD",SUZUKI,EVERY,2021/1,"34,683 km",660cc,AT,Petrol,ASK,Location,,,,,/suzuki/every/cb202879/id/13260267/
CB202880,"2022 TOYOTA HIACE VAN
                                 2.8GLII",TOYOTA,HIACE,2022/9,"58,909 km","2,800cc",AT,Diesel,5,Location,,,,,/toyota/hiace-van/cb202880/id/13260268/
CB202881,"2014 SUBARU LEVORG
                                 4WD1.6GT",SUBARU,LEVORG,2014/12,"64,027 km","1,600cc",AT,Petrol,ASK,Location,,,,,/subaru/levorg/cb202881/id/13260269/
CB202882,"2015 NISSAN NOTE
                                 XFOURV",NISSAN,NOTE,2015/6,"83,438 km","1,200cc",AT,Petrol,ASK,Location,,,,,/nissan/note/cb202882/id/13260270/
CB202883,"2022 MERCEDES-BENZ GLB- CLASS
                                 3544WDMP202301",MERCEDES-BENZ,GLB-,2022/11,"24,600 km","2,000cc",CVT,Petrol,7,Location,,,,,/mercedes-benz/glb-class/cb202883/id/13260271/
CB202884,"2015 NISSAN SERENA
                                 20S",NISSAN,SERENA,2015/12,"75,886 km","2,000cc",AT,Petrol,ASK,Location,,,,,/nissan/serena/cb202884/id/13260272/
CB202885,"2022 BMW MINI
                                 D",BMW,MINI,2022/1,"12,000 km","2,000cc",AT,Diesel,5,Location,,,,,/bmw/mini/cb202885/id/13260273/
CB202886,2021 JEEP RENEGADE,JEEP,RENEGADE,2021/9,"20,100 km","1,300cc",AT,Petrol,5,Location,,,,,/jeep/renegade/cb202886/id/13260274/
CB202887,"2025 SUZUKI CARRY TRUCK
                                 660KC3",SUZUKI,CARRY,2025/11,4 km,660cc,AT,Petrol,2,Location,,,,,/suzuki/carry-truck/cb202887/id/13260275/
CB202888,"2023 MERCEDES-BENZ C-CLASS
                                 C220DAMG",MERCEDES-BENZ,C-CLASS,2023/4,"31,000 km","2,000cc",CVT,Hybrid(Diesel),5,Location,,,,,/mercedes-benz/c-class/cb202888/id/13260276/
CB202889,"2016 HONDA ODYSSEY
                                 SEX",HONDA,ODYSSEY,2016/9,"66,957 km","2,000cc",AT,Hybrid(Petrol),7,Location,,,,,/honda/odyssey/cb202889/id/13260277/
CB202890,"2014 TOYOTA AQUA
                                 1.5S",TOYOTA,AQUA,2014/11,"112,300 km","1,500cc",CVT,Hybrid(Petrol),5,Location,,,,,/toyota/aqua/cb202890/id/13260278/
CB202891,"2020 TOYOTA HIACE VAN
                                 2.0DX",TOYOTA,HIACE,2020/8,"55,363 km","2,000cc",AT,Petrol,6,Location,,,,,/toyota/hiace-van/cb202891/id/13260279/
CB202892,"2015 SUZUKI ALTO
                                 660RS",SUZUKI,ALTO,2015/6,"146,100 km",660cc,AT,Petrol,4,Location,,,,,/suzuki/alto/cb202892/id/13260280/
CB202893,"2023 PORSCHE CAYENNE
                                 SS4",PORSCHE,CAYENNE,2023/11,"6,000 km","4,000cc",AT,Petrol,5,Location,,,,,/porsche/cayenne/cb202893/id/13260281/
CB202894,"2019 SUZUKI ALTO
                                 L",SUZUKI,ALTO,2019/6,"23,000 km",660cc,AT,Petrol,ASK,Location,,,,,/suzuki/alto/cb202894/id/13260282/
CB202897,"2019 TOYOTA HIACE VAN
                                 3.0GL",TOYOTA,HIACE,2019/10,"41,000 km","3,000cc",AT,Diesel,4,Location,,,,,/toyota/hiace-van/cb202897/id/13260285/
CB202898,1998 ROVER MINI,ROVER,MINI,1998/2,"86,689 km","1,300cc",AT,Petrol,4,Location,,,,,/rover/mini/cb202898/id/13260286/
CB202899,"2010 DAIHATSU TANTO
                                 660X",DAIHATSU,TANTO,2010/11,"52,200 km",660cc,CVT,Petrol,4,Location,,,,,/daihatsu/tanto/cb202899/id/13260287/
CB202900,"2019 TOYOTA REGIUSACE VAN
                                 2.0DX",TOYOTA,REGIUSACE,2019/6,"48,620 km","2,000cc",AT,Petrol,6,Location,,,,,/toyota/regiusace-van/cb202900/id/13260288/
CB202901,2015 SUZUKI CARRY TRUCK,SUZUKI,CARRY,2015/10,"55,000 km",660cc,MT,Petrol,ASK,Location,,,,,/suzuki/carry-truck/cb202901/id/13260289/
CB202902,"2013 DAIHATSU HIJET VAN
                                 4WD",DAIHATSU,HIJET,2013/11,"59,800 km",660cc,MT,Petrol,ASK,Location,,,,,/daihatsu/hijet-van/cb202902/id/13260290/
CB202903,"2011 HINO DUTRO
                                 800KG",HINO,DUTRO,2011/8,"31,895 km","4,000cc",MT,Diesel,3,Location,,,,,/hino/dutro/cb202903/id/13260291/
CB202904,"2018 HONDA N BOX
                                 GEX",HONDA,N,2018/7,"41,055 km",660cc,AT,Petrol,ASK,Location,,,,,/honda/n-box/cb202904/id/13260292/
CB202905,"2009 SUBARU STELLA
                                 4WDRLTD",SUBARU,STELLA,2009/6,"78,500 km",660cc,CVT,Petrol,4,Location,,,,,/subaru/stella/cb202905/id/13260293/
CB202906,"2024 SUZUKI SPACIA
                                 4WDG",SUZUKI,SPACIA,2024/7,"5,500 km",660cc,AT,Petrol,ASK,Location,,,,,/suzuki/spacia/cb202906/id/13260294/
CB202907,"2020 DAIHATSU MIRA ES
                                 4WDXSAIII",DAIHATSU,MIRA,2020/7,"27,500 km",660cc,AT,Petrol,ASK,Location,,,,,/daihatsu/mira-es/cb202907/id/13260295/
CB202908,"2017 TOYOTA SPADE
                                 4WDX",TOYOTA,SPADE,2017/2,"46,300 km","1,500cc",AT,Petrol,ASK,Location,,,,,/toyota/spade/cb202908/id/13260296/
CB202909,"2015 DAIHATSU MOVE
                                 XSA",DAIHATSU,MOVE,2015/3,"87,480 km",660cc,AT,Petrol,4,Location,,,,,/daihatsu/move/cb202909/id/13260297/
CB202911,"2015 BMW MINI
                                 DALL4",BMW,MINI,2015/3,"67,900 km","2,000cc",AT,Diesel,ASK,Location,,,,,/bmw/mini/cb202911/id/13260299/
CB202912,"2016 BMW MINI
                                 S",BMW,MINI,2016/2,"61,800 km","2,000cc",AT,Petrol,ASK,Location,,,,,/bmw/mini/cb202912/id/13260300/
CB202913,"2014 HONDA FREED
                                 1.5G",HONDA,FREED,2014/12,"107,200 km","1,500cc",CVT,Petrol,7,Location,,,,,/honda/freed/cb202913/id/13260301/
CB202914,"2014 TOYOTA HARRIER
                                 2.0ELEGANCE",TOYOTA,HARRIER,2014/9,"59,443 km","2,000cc",CVT,Petrol,5,Location,,,,,/toyota/harrier/cb202914/id/13260302/
CB202915,"2021 SUZUKI EVERY
                                 660",SUZUKI,EVERY,2021/9,"31,200 km",660cc,AT,Petrol,4,Location,,,,,/suzuki/every/cb202915/id/13260303/
CB202916,2015 HONDA FREED,HONDA,FREED,2015/12,"118,090 km","1,500cc",AT,Hybrid(Petrol),6,Location,,,,,/honda/freed/cb202916/id/13260304/
CB202919,"2023 LEXUS LEXUS OTHERS
                                 500S",LEXUS,LEXUS,2023/4,"12,000 km","5,000cc",AT,Petrol,4,Location,,,,,/lexus/lexus-others/cb202919/id/13260307/
CB202921,"2019 SUZUKI EVERY
                                 660",SUZUKI,EVERY,2019/3,"69,950 km",660cc,AT,Petrol,4,Location,,,,,/suzuki/every/cb202921/id/13260309/
CB202922,"2011 DAIHATSU TANTO
                                 RS",DAIHATSU,TANTO,2011/8,"91,140 km",660cc,AT,Petrol,ASK,Location,,,,,/daihatsu/tanto/cb202922/id/13260310/
CB202923,"2019 HONDA N BOX
                                 660G",HONDA,N,2019/8,"48,000 km",660cc,CVT,Petrol,4,Location,,,,,/honda/n-box/cb202923/id/13260311/
CB202924,"2010 HONDA LIFE
                                 4WD",HONDA,LIFE,2010/4,"64,622 km",660cc,AT,Petrol,4,Location,,,,,/honda/life/cb202924/id/13260312/
CB202926,"2020 HONDA N BOX
                                 660GL",HONDA,N,2020/5,"21,000 km",660cc,CVT,Petrol,4,Location,,,,,/honda/n-box/cb202926/id/13260314/
CB202927,"2023 MITSUBISHI MINICAB TRUCK
                                 4WD",MITSUBISHI,MINICAB,2023/3,"41,296 km",660cc,MT,Petrol,2,Location,,,,,/mitsubishi/minicab-truck/cb202927/id/13260315/
CB202928,2017 JEEP WRANGLER,JEEP,WRANGLER,2017/10,"103,800 km","3,600cc",AT,Petrol,5,Location,,,,,/jeep/wrangler/cb202928/id/13260316/
CB202929,"2010 HONDA STEP WGN
                                 L",HONDA,STEP,2010/1,"85,780 km","2,000cc",AT,Petrol,8,Location,,,,,/honda/step-wgn/cb202929/id/13260317/
CB202930,"2017 LEXUS LEXUS OTHERS
                                 LC500HS",LEXUS,LEXUS,2017/6,"18,938 km","3,500cc",AT,Hybrid(Petrol),ASK,Location,,,,,/lexus/lexus-others/cb202930/id/13260318/
CB202931,"2019 LEXUS RX
                                 450HLAWD",LEXUS,RX,2019/11,"51,002 km","3,500cc",CVT,Hybrid(Petrol),5,Location,,,,,/lexus/rx/cb202931/id/13260319/
CB202933,"2016 DAIHATSU TANTO
                                 660L",DAIHATSU,TANTO,2016/6,"67,000 km",660cc,CVT,Petrol,4,Location,,,,,/daihatsu/tanto/cb202933/id/13260321/
CB202934,"2011 DAIHATSU MIRA COCOA
                                 X",DAIHATSU,MIRA,2011/4,"136,000 km",660cc,AT,Petrol,ASK,Location,,,,,/daihatsu/mira-cocoa/cb202934/id/13260322/
CB202935,2003 MITSUBISHI EK SPORT,MITSUBISHI,EK,2003/9,"45,000 km",660cc,CVT,Petrol,ASK,Location,,,,,/mitsubishi/ek-sport/cb202935/id/13260323/
CB202936,"2008 HONDA ZEST
                                 G",HONDA,ZEST,2008/5,"62,000 km",660cc,AT,Petrol,ASK,Location,,,,,/honda/zest/cb202936/id/13260324/
CB202937,"2015 HONDA N-WGN
                                 GA",HONDA,N-WGN,2015/7,"62,936 km",660cc,AT,Petrol,ASK,Location,,,,,/honda/n-wgn/cb202937/id/13260325/
CB202938,"2007 TOYOTA LAND CRUISER
                                 VXLTDG60THED",TOYOTA,LAND,2007/3,"44,000 km","4,200cc",AT,Diesel,ASK,Location,,,,,/toyota/land-cruiser/cb202938/id/13260326/
CB202939,1991 HONDA NSX,HONDA,NSX,1991/3,"85,100 km","3,000cc",AT,Petrol,ASK,Location,,,,,/honda/nsx/cb202939/id/13260327/
CB202940,"1998 MITSUBISHI MINICAB TRUCK
                                 660VX4W",MITSUBISHI,MINICAB,1998/3,"9,000 km",660cc,MT,Petrol,2,Location,,,,,/mitsubishi/minicab-truck/cb202940/id/13260328/
CB202941,"2015 MAZDA FLAIR
                                 XG",MAZDA,FLAIR,2015/1,"90,000 km",660cc,AT,Petrol,ASK,Location,,,,,/mazda/flair/cb202941/id/13260329/
CB202942,2017 NISSAN SERENA,NISSAN,SERENA,2017/6,"86,000 km","2,000cc",AT,Hybrid(Petrol),ASK,Location,,,,,/nissan/serena/cb202942/id/13260330/
CB202943,"2019 DAIHATSU THOR
                                 GLTDSA3",DAIHATSU,THOR,2019/1,"16,000 km","1,000cc",AT,Petrol,ASK,Location,,,,,/daihatsu/thor/cb202943/id/13260331/
CB202944,"2018 HONDA N BOX SLASH
                                 GL",HONDA,N,2018/9,"46,730 km",660cc,AT,Petrol,4,Location,,,,,/honda/n-box-slash/cb202944/id/13260332/
CB202945,"2020 HONDA STEP WGN
                                 2.0EHEVX1",HONDA,STEP,2020/1,"27,961 km","2,000cc",AT,Hybrid(Petrol),7,Location,,,,,/honda/step-wgn/cb202945/id/13260333/
CB202946,2008 DAIHATSU COPEN,DAIHATSU,COPEN,2008/1,"80,547 km",660cc,AT,Petrol,ASK,Location,,,,,/daihatsu/copen/cb202946/id/13260334/
CB202948,"2012 HONDA N BOX PLUS
                                 GL",HONDA,N,2012/1,"214,557 km",660cc,AT,Petrol,ASK,Location,,,,,/honda/n-box-plus/cb202948/id/13260336/
CB202949,2013 NISSAN NOTE,NISSAN,NOTE,2013/1,"100,233 km","1,200cc",AT,Petrol,ASK,Location,,,,,/nissan/note/cb202949/id/13260337/
CB202951,"2015 DAIHATSU TANTO
                                 XSA",DAIHATSU,TANTO,2015/1,"61,117 km",660cc,AT,Petrol,ASK,Location,,,,,/daihatsu/tanto/cb202951/id/13260339/
CB202952,"2012 NISSAN MOCO
                                 XSTOP",NISSAN,MOCO,2012/1,"120,265 km",660cc,AT,Petrol,ASK,Location,,,,,/nissan/moco/cb202952/id/13260340/
CB202953,"2018 TOYOTA NOAH
                                 SIWXB",TOYOTA,NOAH,2018/3,"64,392 km","1,800cc",AT,Hybrid(Petrol),7,Location,,,,,/toyota/noah/cb202953/id/13260341/
CB202955,"2019 MAZDA FLAIR
                                 HVXG",MAZDA,FLAIR,2019/1,"47,175 km",660cc,AT,Petrol,ASK,Location,,,,,/mazda/flair/cb202955/id/13260343/
CB202956,"2016 SUZUKI SOLIO BANDIT
                                 HVMV",SUZUKI,SOLIO,2016/1,"69,410 km","1,200cc",AT,Petrol,ASK,Location,,,,,/suzuki/solio-bandit/cb202956/id/13260344/
CB202957,"2021 HONDA FREED HYBRID
                                 G",HONDA,FREED,2021/1,"41,210 km","1,500cc",AT,Petrol,ASK,Location,,,,,/honda/freed-hybrid/cb202957/id/13260345/
CB202958,"2018 TOYOTA SIENTA
                                 HVG",TOYOTA,SIENTA,2018/1,"17,946 km","1,500cc",AT,Petrol,ASK,Location,,,,,/toyota/sienta/cb202958/id/13260346/
CB202959,"2019 SUZUKI X BEE
                                 HVMX",SUZUKI,X,2019/1,"29,164 km","1,000cc",AT,Petrol,ASK,Location,,,,,/suzuki/x-bee/cb202959/id/13260347/
CB202960,"2013 HONDA N-ONE
                                 L",HONDA,N-ONE,2013/4,"113,579 km",660cc,AT,Petrol,ASK,Location,,,,,/honda/n-one/cb202960/id/13260348/
CB202961,"2019 TOYOTA COROLLA
                                 HVGZ",TOYOTA,COROLLA,2019/1,"49,731 km","1,800cc",AT,Petrol,ASK,Location,,,,,/toyota/corolla/cb202961/id/13260349/
CB202962,"2014 DAIHATSU TANTO
                                 XSA",DAIHATSU,TANTO,2014/11,"74,666 km",660cc,AT,Petrol,ASK,Location,,,,,/daihatsu/tanto/cb202962/id/13260350/
CB202963,"2021 TOYOTA HILUX
                                 Z",TOYOTA,HILUX,2021/4,"87,142 km","2,400cc",AT,Diesel,ASK,Location,,,,,/toyota/hilux/cb202963/id/13260351/
CB202964,"2022 HONDA VEZEL
                                 EHEVZ",HONDA,VEZEL,2022/1,"29,134 km","1,500cc",AT,Petrol,ASK,Location,,,,,/honda/vezel/cb202964/id/13260352/
