ref_no,title,make,model,year,mileage,engine_cc,transmission,fuel,seats,location,price_usd,total_price_usd,price_ugx,total_price_ugx,url,source
CA766820,2019 TOYOTA 86,Toyota,86,2019,24572.0,2000.0,MT,Petrol,4,Location,,,,,/toyota/86/ca766820/id/12854677/,BeForward
CB034844,"2013 TOYOTA 86
                                 TRDTRD",Toyota,86,2013,115900.0,2000.0,MT,Petrol,4,Location,,,,,/toyota/86/cb034844/id/13090785/,BeForward
BY455110,2018 FIAT 500,Fiat,500,2018,43000.0,1400.0,AT,Petrol,5,Location,,,,,/fiat/500/by455110/id/11603580/,BeForward
CA715608,"2024 NISSAN LEAF
                                 XLED",Nissan,Leaf,2024,2031.0,,AT,Electric,5,Location,,,,,/nissan/leaf/ca715608/id/12803229/,BeForward
CA631813,"2024 NISSAN LEAF
                                 NISMOTVETC",Nissan,Leaf,2024,8498.0,,AT,Electric,5,Location,,,,,/nissan/leaf/ca631813/id/12718250/,BeForward
CA470273,"2021 NISSAN LEAF
                                 LED",Nissan,Leaf,2021,9360.0,,AT,Electric,5,Location,,,,,/nissan/leaf/ca470273/id/12555343/,BeForward
CA240135,"2020 NISSAN LEAF
                                 AUTECHLED",Nissan,Leaf,2020,7256.0,,AT,Electric,5,Location,,,,,/nissan/leaf/ca240135/id/12323287/,BeForward
CA887210,2012 SUZUKI SWIFT,Suzuki,Swift,2012,78300.0,1200.0,AT,Petrol,5,Location,,,,,/suzuki/swift/ca887210/id/12976580/,BeForward
CB204990,1999 HONDA ACCORD,Honda,Accord,1999,163900.0,2000.0,MT,Petrol,5,Location,,,,,/honda/accord/cb204990/id/13262384/,BeForward
CB204992,2000 NISSAN FAIRLADY Z,Nissan,Fairlady,2000,132100.0,3000.0,MT,Petrol,4,Location,,,,,/nissan/fairlady-z/cb204992/id/13262386/,BeForward
CB204993,2017 AUDI A4,Audi,A4,2017,41559.0,2000.0,AT,Petrol,5,Location,,,,,/audi/a4/cb204993/id/13262387/,BeForward
CB204994,2010 TOYOTA RUSH,Toyota,Rush,2010,71930.0,1500.0,AT,Petrol,5,Location,,,,,/toyota/rush/cb204994/id/13262388/,BeForward
CB204995,2015 TOYOTA PRIUS,Toyota,Prius,2015,107377.0,1800.0,CVT,Hybrid(Petrol),5,Location,,,,,/toyota/prius/cb204995/id/13262389/,BeForward
