ref_no,title,make,model,year,mileage,engine_cc,transmission,fuel,seats,location,price_usd,total_price_usd,price_ugx,total_price_ugx,url
CB202836,"2019 NISSAN CLIPPER VAN
                                 660G4WD",Nissan,Clipper,2019,31000,660.0,AT,Petrol,4,Location,,,,,/nissan/clipper-van/cb202836/id/13260224/
CB202837,"2020 NISSAN CLIPPER VAN
                                 EHID",Nissan,Clipper,2020,48100,660.0,AT,Petrol,4,Location,,,,,/nissan/clipper-van/cb202837/id/13260225/
CB202877,2012 NISSAN NOTE,Nissan,Note,2012,41488,1200.0,CVT,Petrol,5,Location,,,,,/nissan/note/cb202877/id/13260265/
CB202895,"2017 NISSAN NOTE
                                 1.2X",Nissan,Note,2017,47199,1200.0,AT,Petrol,5,Location,,,,,/nissan/note/cb202895/id/13260283/
CB202910,1998 TOYOTA STARLET,Toyota,Starlet,1998,186550,,MT,Petrol,5,Location,,,,,/toyota/starlet/cb202910/id/13260298/
CB202917,2017 ISUZU GIGA,Isuzu,Giga,2017,425622,15680.0,MT,Diesel,2,Location,,,,,/isuzu/giga/cb202917/id/13260305/
CB202918,"2020 MITSUBISHI FUSO CANTER
                                 2T4NO.",Mitsubishi,Fuso,2020,40398,2990.0,AT,Diesel,3,Location,,,,,/mitsubishi-fuso/canter/cb202918/id/13260306/
CB202920,"2020 NISSAN ATLAS
                                 2T4NO.",Nissan,Atlas,2020,40398,2990.0,AT,Diesel,3,Location,,,,,/nissan/atlas/cb202920/id/13260308/
CB202925,"2023 NISSAN SERENA
                                 TV",Nissan,Serena,2023,22091,2000.0,CVT,Petrol,8,Location,,,,,/nissan/serena/cb202925/id/13260313/
CB202932,2004 MITSUBISHI FUSO CANTER,Mitsubishi,Fuso,2004,244085,5240.0,MT,Diesel,3,Location,,,,,/mitsubishi-fuso/canter/cb202932/id/13260320/
CB202954,2018 HONDA CIVIC,Honda,Civic,2018,76000,1500.0,CVT,Petrol,5,Location,,,,,/honda/civic/cb202954/id/13260342/
CB202966,"2018 HONDA CIVIC
                                 1.5CVT",Honda,Civic,2018,105965,1500.0,AT,Petrol,5,Location,,,,,/honda/civic/cb202966/id/13260354/
CB202971,2023 HONDA CIVIC,Honda,Civic,2023,16800,1500.0,MT,Petrol,5,Location,,,,,/honda/civic/cb202971/id/13260359/
CB202972,2025 HONDA CIVIC,Honda,Civic,2025,2900,2000.0,AT,Hybrid(Petrol),5,Location,,,,,/honda/civic/cb202972/id/13260360/
CB202973,"2010 HONDA CIVIC TYPE R
                                 2.0",Honda,Civic,2010,23000,2000.0,MT,Petrol,4,Location,,,,,/honda/civic-type-r/cb202973/id/13260361/
CB202974,"2023 NISSAN SERENA
                                 2.0V4WD",Nissan,Serena,2023,56000,2000.0,AT,Petrol,8,Location,,,,,/nissan/serena/cb202974/id/13260362/
CB202975,"2025 NISSAN SERENA
                                 2.0V4WD",Nissan,Serena,2025,267,2000.0,AT,Petrol,8,Location,,,,,/nissan/serena/cb202975/id/13260363/
CB202976,"2020 ISUZU FORWARD
                                 3550KG",Isuzu,Forward,2020,35088,5190.0,MT,Diesel,3,Location,,,,,/isuzu/forward/cb202976/id/13260364/
CB203011,"2025 NISSAN NOTE
                                 1.2GFOUR4WD",Nissan,Note,2025,7000,1200.0,AT,Hybrid(Petrol),5,Location,,,,,/nissan/note/cb203011/id/13260399/
CB203012,"2025 NISSAN NOTE
                                 1.2GFOUR4WD",Nissan,Note,2025,6000,1200.0,AT,Hybrid(Petrol),5,Location,,,,,/nissan/note/cb203012/id/13260400/
